GTDB R95 genus	Number of genomes	Number of NCBI genera	List of NCBI genera
g__CAG-110	49	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1777	49	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Clavibacter	49	2	g__Clavibacter 97.96%, g__(f__Bradyrhizobiaceae) 2.04%
g__Phaeobacter	49	3	g__Phaeobacter 95.92%, g__Nautella 2.04%, g__Ruegeria 2.04%
g__Kosakonia	49	4	g__Kosakonia 63.27%, g__Enterobacter 22.45%, g__(f__Bradyrhizobiaceae) 12.24%, g__Klebsiella 2.04%
g__Exiguobacterium_A	48	1	g__Exiguobacterium(f__) 100.0%
g__UBA9145	48	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Synechococcus_E	48	4	g__Synechococcus(f__Synechococcaceae) 85.42%, g__(f__Bradyrhizobiaceae) 6.25%, g__Prochlorococcus(f__Prochloraceae) 6.25%, g__Cyanobium(f__Synechococcaceae) 2.08%
g__Clostridium_J	47	1	g__Clostridium 100.0%
g__Clostridium_G	47	1	g__Clostridium 100.0%
g__Glaesserella	47	2	g__Glaesserella 93.62%, g__Actinobacillus 6.38%
g__Massilia	47	4	g__Massilia(f__Oxalobacteraceae) 91.49%, g__Janthinobacterium(f__Oxalobacteraceae) 4.26%, g__(f__Bradyrhizobiaceae) 2.13%, g__Herbaspirillum(f__Oxalobacteraceae) 2.13%
g__Sporosarcina	47	4	g__Sporosarcina 91.49%, g__Lysinibacillus(f__Bacillaceae) 4.26%, g__Bacillus(f__Bacillaceae) 2.13%, g__Filibacter 2.13%
g__Synechococcus_C	47	4	g__Synechococcus(f__Synechococcaceae) 85.11%, g__Prochlorococcus(f__Prochloraceae) 10.64%, g__Cyanobium(f__Synechococcaceae) 2.13%, g__(f__Bradyrhizobiaceae) 2.13%
g__Tatlockia	47	2	g__Legionella 78.72%, g__Tatlockia 21.28%
g__Clostridium_Q	47	3	g__Clostridium(f__Clostridiaceae) 70.21%, g__Lachnoclostridium 25.53%, g__(f__Bradyrhizobiaceae) 4.26%
g__Fusobacterium_C	46	1	g__Fusobacterium 100.0%
g__Cellulomonas	46	2	g__Cellulomonas 97.83%, g__(f__Bradyrhizobiaceae) 2.17%
g__Hymenobacter	46	2	g__Hymenobacter 97.83%, g__Siccationidurans 2.17%
g__Eubacterium_R	46	6	g__(f__Bradyrhizobiaceae) 73.91%, g__Eubacterium(f__Eubacteriaceae) 8.7%, g__Anaerotruncus(f__Ruminococcaceae) 6.52%, g__Clostridium(f__Clostridiaceae) 6.52%, g__Carnobacterium(f__Carnobacteriaceae) 2.17%, g__Ruminococcus(f__Ruminococcaceae) 2.17%
g__Ochrobactrum_A	46	2	g__Ochrobactrum(f__Brucellaceae) 52.17%, g__(f__Bradyrhizobiaceae) 47.83%
g__UBA8498	45	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Pseudonocardia	45	2	g__Pseudonocardia 97.78%, g__(f__Bradyrhizobiaceae) 2.22%
g__Gluconobacter	45	2	g__Gluconobacter 97.78%, g__Swingsia 2.22%
g__UBA1033	45	3	g__(f__Bradyrhizobiaceae) 95.56%, g__Clostridium(f__Clostridiaceae) 2.22%, g__Caproiciproducens(f__Ruminococcaceae) 2.22%
g__UBA2013	45	3	g__(f__Bradyrhizobiaceae) 82.22%, g__Candidatus Ruthia(f__) 13.33%, g__Candidatus Thioglobus(f__) 4.44%
g__Polaribacter	45	2	g__Polaribacter 73.33%, g__(f__Bradyrhizobiaceae) 26.67%
g__Mesomycoplasma	44	1	g__Mycoplasma(f__Mycoplasmataceae) 100.0%
g__Helicobacter_D	44	1	g__Helicobacter 100.0%
g__Algoriphagus	44	2	g__Algoriphagus 97.73%, g__(f__Bradyrhizobiaceae) 2.27%
g__Herbaspirillum	44	2	g__Herbaspirillum(f__Oxalobacteraceae) 97.73%, g__(f__Bradyrhizobiaceae) 2.27%
g__Sulfurimonas	44	2	g__Sulfurimonas(f__Helicobacteraceae) 95.45%, g__(f__Bradyrhizobiaceae) 4.55%
g__Devosia	44	3	g__Devosia(f__Hyphomicrobiaceae) 90.91%, g__Pelagibacterium(f__Hyphomicrobiaceae) 4.55%, g__(f__Bradyrhizobiaceae) 4.55%
g__Methylopumilus	44	3	g__Candidatus Methylopumilus 88.64%, g__Methylotenera 6.82%, g__(f__Bradyrhizobiaceae) 4.55%
g__Fructilactobacillus	43	1	g__Lactobacillus 100.0%
g__Ruminococcus_B	43	3	g__Blautia 86.05%, g__(f__Bradyrhizobiaceae) 6.98%, g__Ruminococcus(f__Ruminococcaceae) 6.98%
g__Coprococcus	43	3	g__Coprococcus 69.77%, g__Clostridium(f__Clostridiaceae) 27.91%, g__(f__Bradyrhizobiaceae) 2.33%
g__Rhodoferax	43	3	g__Rhodoferax(f__Comamonadaceae) 46.51%, g__(f__Bradyrhizobiaceae) 44.19%, g__Curvibacter(f__Comamonadaceae) 9.3%
g__UBA1067	42	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Borrelia	42	2	g__Borrelia 97.62%, g__Borreliella 2.38%
g__Roseburia	42	2	g__Roseburia 97.62%, g__(f__Bradyrhizobiaceae) 2.38%
g__Fischerella	42	5	g__Fischerella(f__Hapalosiphonaceae) 90.48%, g__Hapalosiphon(f__Hapalosiphonaceae) 2.38%, g__Mastigocladus(f__Hapalosiphonaceae) 2.38%, g__(f__Bradyrhizobiaceae) 2.38%, g__Westiellopsis(f__Hapalosiphonaceae) 2.38%
g__Rodentibacter	42	4	g__Rodentibacter 90.48%, g__Pasteurella 4.76%, g__(f__Bradyrhizobiaceae) 2.38%, g__Pseudomonas(f__Pseudomonadaceae) 2.38%
g__Kaistella	42	2	g__Chryseobacterium(f__Flavobacteriaceae) 59.52%, g__(f__Bradyrhizobiaceae) 40.48%
g__Glutamicibacter	42	3	g__Arthrobacter 47.62%, g__Glutamicibacter 47.62%, g__(f__Bradyrhizobiaceae) 4.76%
g__Leptospira_B	41	1	g__Leptospira 100.0%
g__UBA1711	41	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Histophilus	41	2	g__Histophilus 90.24%, g__Haemophilus 9.76%
g__Limnohabitans	41	2	g__Limnohabitans(f__Comamonadaceae) 78.05%, g__(f__Bradyrhizobiaceae) 21.95%
g__40CM-4-65-16	40	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Planococcus	40	2	g__Planococcus 75.0%, g__Planomicrobium 25.0%
g__Blautia	40	3	g__Blautia 67.5%, g__(f__Bradyrhizobiaceae) 30.0%, g__Erysipelatoclostridium(f__Erysipelotrichaceae) 2.5%
g__Eisenbergiella	40	4	g__(f__Bradyrhizobiaceae) 62.5%, g__Eisenbergiella 30.0%, g__Clostridium(f__Clostridiaceae) 5.0%, g__Fusicatenibacter 2.5%
g__TF01-11	40	4	g__Clostridium(f__Clostridiaceae) 52.5%, g__(f__Bradyrhizobiaceae) 22.5%, g__Lachnoclostridium 17.5%, g__Roseburia 7.5%
g__LD21	39	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Spirillospora	39	2	g__Actinomadura(f__Thermomonosporaceae) 97.44%, g__Spirillospora(f__Thermomonosporaceae) 2.56%
g__Desulfovibrio	39	2	g__Desulfovibrio 92.31%, g__(f__Bradyrhizobiaceae) 7.69%
g__Muricauda	39	3	g__Muricauda 79.49%, g__Flagellimonas 17.95%, g__(f__Bradyrhizobiaceae) 2.56%
g__Wenzhouxiangella	39	2	g__Wenzhouxiangella 79.49%, g__(f__Bradyrhizobiaceae) 20.51%
g__Hydrogenophaga	39	2	g__Hydrogenophaga(f__Comamonadaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Legionella_C	38	1	g__Legionella 100.0%
g__Citrobacter_B	38	3	g__Citrobacter 94.74%, g__Salmonella 2.63%, g__Klebsiella 2.63%
g__CAG-269	38	2	g__Clostridium(f__Clostridiaceae) 89.47%, g__(f__Bradyrhizobiaceae) 10.53%
g__Bacillus_H	37	1	g__Bacillus(f__Bacillaceae) 100.0%
g__Fen-1039	37	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Leucobacter	37	2	g__Leucobacter 97.3%, g__Mycolicibacterium(f__Mycobacteriaceae) 2.7%
g__Acidovorax_A	37	2	g__Acidovorax(f__Comamonadaceae) 97.3%, g__(f__Bradyrhizobiaceae) 2.7%
g__Bacillus_W	37	2	g__Bacillus(f__Bacillaceae) 97.3%, g__Rhodococcus(f__Nocardiaceae) 2.7%
g__Maribacter	37	3	g__Maribacter 94.59%, g__(f__Bradyrhizobiaceae) 2.7%, g__Maripseudobacter 2.7%
g__Rahnella	37	3	g__Rahnella(f__Yersiniaceae) 91.89%, g__(f__Bradyrhizobiaceae) 5.41%, g__Serratia(f__Yersiniaceae) 2.7%
g__Myroides	37	3	g__Myroides 78.38%, g__Flavobacterium 13.51%, g__(f__Bradyrhizobiaceae) 8.11%
g__Muribaculum	37	4	g__(f__Bradyrhizobiaceae) 72.97%, g__Muribaculum 21.62%, g__Candidatus Homeothermus 2.7%, g__Barnesiella(f__Barnesiellaceae) 2.7%
g__Bulleidia	37	6	g__(f__Bradyrhizobiaceae) 56.76%, g__Solobacterium 32.43%, g__Bulleidia 2.7%, g__Anaerolactibacter(f__Ruminococcaceae) 2.7%, g__Lactimicrobium 2.7%, g__Galactobacillus 2.7%
g__Gemmiger	37	5	g__Subdoligranulum 45.95%, g__(f__Bradyrhizobiaceae) 40.54%, g__Faecalibacterium 5.41%, g__Candidatus Cibiobacter 5.41%, g__Gemmiger 2.7%
g__Tenacibaculum	36	2	g__Tenacibaculum 97.22%, g__(f__Bradyrhizobiaceae) 2.78%
g__Aequorivita	36	2	g__Aequorivita 97.22%, g__(f__Bradyrhizobiaceae) 2.78%
g__Anaerococcus	36	2	g__Anaerococcus(f__Peptoniphilaceae) 97.22%, g__Casaltella(f__Clostridiales Family XIII. Incertae Sedis) 2.78%
g__Sulfotelmatobacter	36	2	g__(f__Bradyrhizobiaceae) 97.22%, g__Candidatus Sulfotelmatobacter(f__Acidobacteriaceae) 2.78%
g__Dialister	36	2	g__Dialister(f__Veillonellaceae) 94.44%, g__(f__Bradyrhizobiaceae) 5.56%
g__Empedobacter	36	2	g__Empedobacter(f__Flavobacteriaceae) 94.44%, g__(f__Bradyrhizobiaceae) 5.56%
g__Leeuwenhoekiella	36	3	g__Leeuwenhoekiella 91.67%, g__(f__Bradyrhizobiaceae) 5.56%, g__Flavimarina 2.78%
g__Nitrosospira	36	2	g__Nitrosospira 86.11%, g__Nitrosovibrio 13.89%
g__Anaerostipes	36	5	g__Anaerostipes 55.56%, g__(f__Bradyrhizobiaceae) 36.11%, g__Clostridium(f__Clostridiaceae) 2.78%, g__Eubacterium(f__Eubacteriaceae) 2.78%, g__Hungatella(f__Clostridiaceae) 2.78%
g__Bacillus_E	35	1	g__Bacillus(f__Bacillaceae) 100.0%
g__Nocardiopsis	35	2	g__Nocardiopsis(f__Nocardiopsaceae) 97.14%, g__Glycomyces(f__Glycomycetaceae) 2.86%
g__Brachybacterium	35	2	g__Brachybacterium 97.14%, g__Corynebacterium(f__Corynebacteriaceae) 2.86%
g__Blastomonas	35	6	g__Blastomonas 80.0%, g__Sphingomonas 5.71%, g__(f__Bradyrhizobiaceae) 5.71%, g__Acidovorax(f__Comamonadaceae) 2.86%, g__Porphyrobacter(f__Erythrobacteraceae) 2.86%, g__Pseudomonas(f__Pseudomonadaceae) 2.86%
g__Agathobaculum	35	4	g__Butyricicoccus(f__Clostridiaceae) 80.0%, g__Agathobaculum(f__Ruminococcaceae) 14.29%, g__(f__Bradyrhizobiaceae) 2.86%, g__Intestinibacillus(f__Eubacteriaceae) 2.86%
g__Enterovibrio	35	2	g__Enterovibrio 74.29%, g__Grimontia 25.71%
g__Moraxella_A	35	3	g__Moraxella 57.14%, g__Enhydrobacter(f__) 40.0%, g__(f__Bradyrhizobiaceae) 2.86%
g__UBA4871	34	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Ureaplasma	34	2	g__Ureaplasma(f__Mycoplasmataceae) 97.06%, g__(f__Bradyrhizobiaceae) 2.94%
g__Aquimarina	34	2	g__Aquimarina 97.06%, g__(f__Bradyrhizobiaceae) 2.94%
g__Porphyrobacter	34	4	g__Porphyrobacter(f__Erythrobacteraceae) 76.47%, g__(f__Bradyrhizobiaceae) 14.71%, g__Erythrobacter(f__Erythrobacteraceae) 5.88%, g__Caulobacter(f__Caulobacteraceae) 2.94%
g__Atlantibacter	34	3	g__(f__Bradyrhizobiaceae) 76.47%, g__Atlantibacter 20.59%, g__Klebsiella 2.94%
g__Afipia	34	4	g__Afipia(f__Bradyrhizobiaceae) 73.53%, g__(f__Bradyrhizobiaceae) 11.76%, g__Oligotropha(f__Bradyrhizobiaceae) 8.82%, g__Bradyrhizobium(f__Bradyrhizobiaceae) 5.88%
g__Succinivibrio	34	3	g__Succinatimonas 70.59%, g__Succinivibrio 20.59%, g__(f__Bradyrhizobiaceae) 8.82%
g__HTCC2207	33	1	g__(f__Bradyrhizobiaceae) 100.0%
g__D2472	33	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7541	33	1	g__(f__Bradyrhizobiaceae) 100.0%
g__13-2-20CM-66-19	33	1	g__(f__Bradyrhizobiaceae) 100.0%
g__MB11C04	33	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4421	33	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4372	33	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Pseudoxanthomonas_A	33	3	g__Pseudoxanthomonas 93.94%, g__Stenotrophomonas 3.03%, g__(f__Bradyrhizobiaceae) 3.03%
g__Cereibacter	33	2	g__Rhodobacter 90.91%, g__Cereibacter 9.09%
g__Microcoleus	33	4	g__(f__Bradyrhizobiaceae) 90.91%, g__Oscillatoria(f__Oscillatoriaceae) 3.03%, g__Microcoleus(f__Microcoleaceae) 3.03%, g__Tychonema(f__Microcoleaceae) 3.03%
g__Demequina	33	3	g__Demequina 48.48%, g__Lysinimicrobium 45.45%, g__(f__Bradyrhizobiaceae) 6.06%
g__Arthrobacter_D	32	3	g__Arthrobacter 93.75%, g__(f__Bradyrhizobiaceae) 3.12%, g__Kocuria 3.12%
g__Odoribacter	32	2	g__Odoribacter(f__Odoribacteraceae) 93.75%, g__Culturomica(f__Odoribacteraceae) 6.25%
g__Olsenella	32	2	g__Olsenella 84.38%, g__(f__Bradyrhizobiaceae) 15.62%
g__Oscillibacter	32	3	g__Oscillibacter 78.12%, g__(f__Bradyrhizobiaceae) 18.75%, g__Dysosmobacter 3.12%
g__Thiobacillus	32	2	g__Thiobacillus 59.38%, g__(f__Bradyrhizobiaceae) 40.62%
g__Planktophila	32	2	g__(f__Bradyrhizobiaceae) 59.38%, g__Candidatus Planktophila 40.62%
g__Prevotellamassilia	32	3	g__(f__Bradyrhizobiaceae) 56.25%, g__Prevotella(f__Prevotellaceae) 40.62%, g__Prevotellamassilia(f__Prevotellaceae) 3.12%
g__Enterococcus_E	31	1	g__Enterococcus 100.0%
g__Haemophilus_B	31	1	g__Haemophilus 100.0%
g__Desulfosporosinus	31	2	g__Desulfosporosinus(f__Peptococcaceae) 96.77%, g__(f__Bradyrhizobiaceae) 3.23%
g__Luminiphilus	31	2	g__(f__Bradyrhizobiaceae) 96.77%, g__Luminiphilus 3.23%
g__Paenibacillus_C	31	2	g__Paenibacillus 93.55%, g__Bacillus(f__Bacillaceae) 6.45%
g__Citrobacter_A	31	2	g__Citrobacter 93.55%, g__Vibrio(f__Vibrionaceae) 6.45%
g__Eubacterium_Q	31	2	g__(f__Bradyrhizobiaceae) 83.87%, g__Eubacterium(f__Eubacteriaceae) 16.13%
g__Duncaniella	31	3	g__(f__Bradyrhizobiaceae) 83.87%, g__Duncaniella 12.9%, g__Muribaculum 3.23%
g__Fusicatenibacter	31	4	g__Blautia 80.65%, g__Fusicatenibacter 9.68%, g__(f__Bradyrhizobiaceae) 6.45%, g__Eubacterium(f__Eubacteriaceae) 3.23%
g__Oceanobacillus	31	3	g__Oceanobacillus(f__Bacillaceae) 74.19%, g__(f__Bradyrhizobiaceae) 22.58%, g__Paenibacillus(f__Paenibacillaceae) 3.23%
g__Paenarthrobacter	31	2	g__Arthrobacter 74.19%, g__Paenarthrobacter 25.81%
g__Sediminibacterium	31	5	g__(f__Bradyrhizobiaceae) 64.52%, g__Sediminibacterium 22.58%, g__Asinibacterium 6.45%, g__Hydrobacter 3.23%, g__Vibrionimonas 3.23%
g__Clostridium_B	30	1	g__Clostridium 100.0%
g__C7867-001	30	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Acidaminococcus	30	2	g__Acidaminococcus 96.67%, g__(f__Bradyrhizobiaceae) 3.33%
g__UBA2284	30	2	g__(f__Bradyrhizobiaceae) 96.67%, g__Acholeplasma 3.33%
g__Piscirickettsia	30	2	g__Piscirickettsia 93.33%, g__(f__Bradyrhizobiaceae) 6.67%
g__Duganella	30	3	g__Duganella(f__Oxalobacteraceae) 93.33%, g__(f__Bradyrhizobiaceae) 3.33%, g__Janthinobacterium(f__Oxalobacteraceae) 3.33%
g__Thioclava	30	2	g__Thioclava 90.0%, g__(f__Bradyrhizobiaceae) 10.0%
g__ER4	30	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Oscillibacter 20.0%
g__CAG-81	30	4	g__Clostridium(f__Clostridiaceae) 73.33%, g__(f__Bradyrhizobiaceae) 16.67%, g__Lachnoclostridium 6.67%, g__Desulfotomaculum(f__Peptococcaceae) 3.33%
g__Flavonifractor	30	4	g__Flavonifractor(f__Ruminococcaceae) 66.67%, g__(f__Bradyrhizobiaceae) 23.33%, g__Clostridium(f__Clostridiaceae) 6.67%, g__Intestinimonas(f__) 3.33%
g__Acetatifactor	30	3	g__(f__Bradyrhizobiaceae) 66.67%, g__Clostridium(f__Clostridiaceae) 30.0%, g__Acetatifactor 3.33%
g__Smithella	30	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Smithella(f__Syntrophaceae) 40.0%
g__Phytoplasma	29	1	g__Candidatus Phytoplasma 100.0%
g__Helicobacter_A	29	1	g__Helicobacter 100.0%
g__Anoxybacillus	29	2	g__Anoxybacillus(f__Bacillaceae) 96.55%, g__Bacillus(f__Bacillaceae) 3.45%
g__Acidithiobacillus	29	2	g__Acidithiobacillus 96.55%, g__Leptospirillum(f__Nitrospiraceae) 3.45%
g__Eubacterium_G	29	3	g__Eubacterium(f__Eubacteriaceae) 89.66%, g__Lachnospira 6.9%, g__(f__Bradyrhizobiaceae) 3.45%
g__Mesotoga	29	2	g__Mesotoga 82.76%, g__(f__Bradyrhizobiaceae) 17.24%
g__Balneola	29	2	g__(f__Bradyrhizobiaceae) 82.76%, g__Balneola 17.24%
g__Saccharomonospora	29	2	g__Saccharomonospora 62.07%, g__Prauserella 37.93%
g__Secundilactobacillus	28	1	g__Lactobacillus 100.0%
g__T78	28	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PUPG01	28	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Bacillus_AA	28	3	g__Bacillus(f__Bacillaceae) 92.86%, g__Sporosarcina(f__Planococcaceae) 3.57%, g__Paenibacillus(f__Paenibacillaceae) 3.57%
g__Kandleria	28	2	g__Kandleria(f__Erysipelotrichaceae) 85.71%, g__(f__Bradyrhizobiaceae) 14.29%
g__Phenylobacterium	28	2	g__Phenylobacterium 85.71%, g__(f__Bradyrhizobiaceae) 14.29%
g__Actinoplanes	28	4	g__Actinoplanes 85.71%, g__Couchioplanes 7.14%, g__Pseudosporangium 3.57%, g__Krasilnikovia 3.57%
g__Epilithonimonas	28	2	g__Chryseobacterium(f__Flavobacteriaceae) 78.57%, g__(f__Bradyrhizobiaceae) 21.43%
g__Virgibacillus	28	6	g__Virgibacillus(f__Bacillaceae) 67.86%, g__Oceanobacillus(f__Bacillaceae) 17.86%, g__Bacillus(f__Bacillaceae) 3.57%, g__(f__Bradyrhizobiaceae) 3.57%, g__Negativibacillus(f__Ruminococcaceae) 3.57%, g__Clostridium(f__Clostridiaceae) 3.57%
g__Roseibacillus	28	2	g__(f__Bradyrhizobiaceae) 57.14%, g__Roseibacillus(f__Verrucomicrobiaceae) 42.86%
g__Methylocystis	28	2	g__(f__Bradyrhizobiaceae) 53.57%, g__Methylocystis(f__Methylocystaceae) 46.43%
g__Sharpea	28	3	g__Kandleria(f__Erysipelotrichaceae) 39.29%, g__Sharpea(f__Lactobacillaceae) 35.71%, g__(f__Bradyrhizobiaceae) 25.0%
g__Fusobacterium_A	27	1	g__Fusobacterium 100.0%
g__Paenibacillus_B	27	1	g__Paenibacillus 100.0%
g__UBA8515	27	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10103	27	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4951	27	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4334	27	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Polaromonas	27	2	g__Polaromonas(f__Comamonadaceae) 96.3%, g__(f__Bradyrhizobiaceae) 3.7%
g__Eikenella	27	3	g__Eikenella 92.59%, g__Neisseria 3.7%, g__Helicobacter(f__Helicobacteraceae) 3.7%
g__Nitrospira	27	3	g__Nitrospira 92.59%, g__Nitrosospira(f__Nitrosomonadaceae) 3.7%, g__(f__Bradyrhizobiaceae) 3.7%
g__Aeromicrobium	27	2	g__Aeromicrobium 88.89%, g__(f__Bradyrhizobiaceae) 11.11%
g__Pseudovibrio	27	2	g__Pseudovibrio(f__Rhodobacteraceae) 88.89%, g__Nesiotobacter(f__Rhodobacteraceae) 11.11%
g__Winogradskyella	27	2	g__Winogradskyella 85.19%, g__(f__Bradyrhizobiaceae) 14.81%
g__UBA868	27	3	g__(f__Bradyrhizobiaceae) 85.19%, g__Candidatus Thioglobus(f__) 11.11%, g__Acidiferrobacter(f__Acidiferrobacteraceae) 3.7%
g__Hydrogenovibrio	27	3	g__Hydrogenovibrio(f__Piscirickettsiaceae) 48.15%, g__(f__Bradyrhizobiaceae) 33.33%, g__Thiomicrospira(f__Piscirickettsiaceae) 18.52%
g__Faecalimonas	27	5	g__(f__Bradyrhizobiaceae) 44.44%, g__Coprococcus 29.63%, g__Tyzzerella 11.11%, g__Clostridium(f__Clostridiaceae) 7.41%, g__Faecalimonas 7.41%
g__Bacillus_F	26	1	g__Bacillus(f__Bacillaceae) 100.0%
g__Brevibacillus_B	26	1	g__Brevibacillus(f__Paenibacillaceae) 100.0%
g__Campylobacter_B	26	1	g__Campylobacter 100.0%
g__UBA10133	26	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RUG420	26	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11358	26	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Bog-375	26	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Dysgonomonas	26	2	g__Dysgonomonas(f__Dysgonamonadaceae) 96.15%, g__Prevotella(f__Prevotellaceae) 3.85%
g__Nonlabens	26	2	g__Nonlabens 96.15%, g__(f__Bradyrhizobiaceae) 3.85%
g__Nonomuraea	26	2	g__Nonomuraea 96.15%, g__Actinomadura(f__Thermomonosporaceae) 3.85%
g__Roseibium	26	3	g__Labrenzia(f__Rhodobacteraceae) 92.31%, g__Roseibium(f__Rhodobacteraceae) 3.85%, g__(f__Bradyrhizobiaceae) 3.85%
g__Blastococcus	26	2	g__Blastococcus 92.31%, g__(f__Bradyrhizobiaceae) 7.69%
g__Entomoplasma	26	2	g__Mesoplasma(f__Entomoplasmataceae) 88.46%, g__Entomoplasma(f__Entomoplasmataceae) 11.54%
g__Paramuribaculum	26	3	g__(f__Bradyrhizobiaceae) 88.46%, g__Paramuribaculum 7.69%, g__Bacteroides(f__Bacteroidaceae) 3.85%
g__Methylophilus	26	3	g__Methylophilus 65.38%, g__(f__Bradyrhizobiaceae) 26.92%, g__Methylotenera 7.69%
g__Tessaracoccus	26	3	g__Tessaracoccus 53.85%, g__Pseudopropionibacterium 38.46%, g__(f__Bradyrhizobiaceae) 7.69%
g__Gallionella	26	2	g__(f__Bradyrhizobiaceae) 53.85%, g__Gallionella 46.15%
g__Arthrobacter_I	25	1	g__Arthrobacter 100.0%
g__UBA1550	25	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAG-170	25	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Arctic96AD-7	25	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UA16	25	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Sedimentibacter	25	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Methylomonas	25	2	g__Methylomonas(f__Methylococcaceae) 96.0%, g__(f__Bradyrhizobiaceae) 4.0%
g__Corallococcus	25	2	g__Corallococcus 96.0%, g__(f__Bradyrhizobiaceae) 4.0%
g__Butyricimonas	25	2	g__Butyricimonas(f__Odoribacteraceae) 88.0%, g__Odoribacter(f__Odoribacteraceae) 12.0%
g__Oribacterium	25	2	g__Oribacterium 88.0%, g__(f__Bradyrhizobiaceae) 12.0%
g__Thauera	25	2	g__Thauera(f__Zoogloeaceae) 88.0%, g__(f__Bradyrhizobiaceae) 12.0%
g__CAG-45	25	2	g__Roseburia 88.0%, g__(f__Bradyrhizobiaceae) 12.0%
g__CAG-1427	25	3	g__Eggerthella 84.0%, g__Cryptobacterium 12.0%, g__(f__Bradyrhizobiaceae) 4.0%
g__Parageobacillus	25	3	g__Parageobacillus(f__Bacillaceae) 64.0%, g__Geobacillus(f__Bacillaceae) 32.0%, g__Anoxybacillus(f__Bacillaceae) 4.0%
g__Alteromonas_A	25	2	g__(f__Bradyrhizobiaceae) 64.0%, g__Alteromonas 36.0%
g__MedAcidi-G1	25	2	g__Candidatus Microthrix(f__Microthrixaceae) 52.0%, g__(f__Bradyrhizobiaceae) 48.0%
g__Treponema_B	24	1	g__Treponema(f__Spirochaetaceae) 100.0%
g__Peptoniphilus_A	24	1	g__Peptoniphilus 100.0%
g__Bact-08	24	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Loigolactobacillus	24	1	g__Lactobacillus 100.0%
g__F23-B02	24	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1547	24	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Rs-D84	24	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5920	24	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2664	24	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QS-4-48-99	24	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-13	24	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Leifsonia	24	2	g__Leifsonia 95.83%, g__Cryocola 4.17%
g__Ruegeria	24	2	g__Ruegeria 95.83%, g__(f__Bradyrhizobiaceae) 4.17%
g__Porphyromonas_A	24	2	g__Porphyromonas 91.67%, g__(f__Bradyrhizobiaceae) 8.33%
g__Olegusella	24	3	g__(f__Bradyrhizobiaceae) 91.67%, g__Atopobium 4.17%, g__Olegusella(f__Coriobacteriaceae) 4.17%
g__Roseomonas	24	3	g__Roseomonas 87.5%, g__Azospirillum(f__Rhodospirillaceae) 8.33%, g__(f__Bradyrhizobiaceae) 4.17%
g__Pluralibacter	24	5	g__Pluralibacter 83.33%, g__Enterobacter 4.17%, g__Citrobacter 4.17%, g__(f__Bradyrhizobiaceae) 4.17%, g__Serratia(f__Yersiniaceae) 4.17%
g__Lelliottia	24	3	g__Lelliottia 83.33%, g__Enterobacter 12.5%, g__Cedecea 4.17%
g__Pseudescherichia	24	3	g__(f__Bradyrhizobiaceae) 79.17%, g__Pseudescherichia 12.5%, g__Escherichia 8.33%
g__Succiniclasticum	24	2	g__(f__Bradyrhizobiaceae) 75.0%, g__Succiniclasticum 25.0%
